시설명,장비명,설치위치,측정상태,방식전위,방식전류,AC유입,배터리,온도,습도,통신상태,최근 갱신일시
A구역 가스기지,RTU-01,지하 매설구간,정상,-999.5mV,2mA,320.4mV,"3,600.0mV",18.1℃,5.4%,정상,2026-03-23 02:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-997.5mV,2mA,320.1mV,"3,599.9mV",18.0℃,5.5%,정상,2026-03-23 02:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-995.4mV,2mA,320.5mV,"3,599.9mV",18.1℃,5.6%,정상,2026-03-23 02:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-993.6mV,2mA,319.7mV,"3,599.8mV",18.0℃,5.4%,정상,2026-03-23 02:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-991.5mV,2mA,320.2mV,"3,599.8mV",18.1℃,5.4%,정상,2026-03-23 02:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,,2mA,319.3mV,"3,599.8mV",18.0℃,5.5%,정상,2026-03-23 02:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,,2mA,320.3mV,"3,599.7mV",17.9℃,5.5%,정상,2026-03-23 03:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,,2mA,319.5mV,"3,599.7mV",17.8℃,5.4%,정상,2026-03-23 03:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-983.3mV,2mA,320.4mV,"3,599.6mV",17.7℃,5.5%,정상,2026-03-23 03:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-980.6mV,2mA,319.1mV,"3,599.6mV",17.7℃,5.4%,정상,2026-03-23 03:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-979.1mV,2mA,320.5mV,"3,599.5mV",17.5℃,5.5%,정상,2026-03-23 03:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-976.8mV,2mA,320.1mV,"3,599.4mV",17.5℃,5.5%,정상,2026-03-23 03:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-974.9mV,2mA,319.7mV,"3,599.4mV",17.3℃,5.4%,정상,2026-03-23 04:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-973.6mV,2mA,320.4mV,"3,599.3mV",17.3℃,5.5%,정상,2026-03-23 04:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-971.8mV,2mA,319.0mV,"3,599.3mV",17.3℃,5.4%,정상,2026-03-23 04:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-969.9mV,2mA,320.0mV,"3,599.2mV",17.0℃,5.5%,정상,2026-03-23 04:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-968.2mV,2mA,319.6mV,"3,599.2mV",16.9℃,5.6%,정상,2026-03-23 04:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-966.3mV,2mA,320.5mV,"3,599.2mV",16.8℃,5.4%,정상,2026-03-23 04:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-965.1mV,2mA,320.7mV,"3,599.1mV",16.7℃,5.6%,정상,2026-03-23 05:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-963.0mV,2mA,320.6mV,"3,599.1mV",16.5℃,5.6%,정상,2026-03-23 05:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-961.5mV,2mA,319.4mV,"3,599.0mV",16.3℃,5.6%,정상,2026-03-23 05:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-960.1mV,2mA,320.7mV,"3,598.9mV",16.2℃,5.5%,정상,2026-03-23 05:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-959.5mV,2mA,320.7mV,"3,598.9mV",15.9℃,5.4%,정상,2026-03-23 05:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-957.8mV,2mA,320.3mV,"3,598.8mV",15.8℃,5.6%,정상,2026-03-23 05:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-956.2mV,2mA,319.8mV,"3,598.8mV",15.7℃,5.5%,정상,2026-03-23 06:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-955.9mV,2mA,320.8mV,"3,598.8mV",15.3℃,5.5%,정상,2026-03-23 06:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-955.1mV,2mA,319.4mV,"3,598.7mV",15.3℃,5.6%,정상,2026-03-23 06:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-953.4mV,2mA,320.1mV,"3,598.7mV",15.0℃,5.4%,정상,2026-03-23 06:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-953.2mV,2mA,319.1mV,"3,598.6mV",14.8℃,5.5%,정상,2026-03-23 06:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-952.0mV,2mA,320.7mV,"3,598.6mV",14.7℃,5.4%,정상,2026-03-23 06:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-951.6mV,2mA,320.7mV,"3,598.5mV",14.4℃,5.4%,정상,2026-03-23 07:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-951.0mV,2mA,320.8mV,"3,598.4mV",14.1℃,5.5%,정상,2026-03-23 07:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.4mV,2mA,320.4mV,"3,598.4mV",13.9℃,5.5%,정상,2026-03-23 07:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.4mV,2mA,320.1mV,"3,598.3mV",13.7℃,5.4%,정상,2026-03-23 07:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.3mV,2mA,320.5mV,"3,598.3mV",13.6℃,5.4%,정상,2026-03-23 07:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.4mV,2mA,320.1mV,"3,598.2mV",13.4℃,5.4%,정상,2026-03-23 07:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.5mV,2mA,320.1mV,"3,598.2mV",13.1℃,5.4%,정상,2026-03-23 08:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-949.7mV,2mA,319.8mV,"3,598.2mV",12.9℃,5.6%,정상,2026-03-23 08:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.0mV,2mA,319.4mV,"3,598.1mV",12.8℃,5.5%,정상,2026-03-23 08:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.0mV,2mA,319.1mV,"3,598.1mV",12.4℃,5.6%,정상,2026-03-23 08:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-950.6mV,2mA,319.5mV,"3,598.0mV",12.3℃,5.5%,정상,2026-03-23 08:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-951.7mV,2mA,321.0mV,"3,597.9mV",12.0℃,5.5%,정상,2026-03-23 08:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-952.1mV,2mA,320.0mV,"3,597.9mV",11.9℃,5.5%,정상,2026-03-23 09:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-952.6mV,2mA,319.8mV,"3,597.8mV",11.5℃,5.6%,정상,2026-03-23 09:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-952.6mV,2mA,319.6mV,"3,597.8mV",11.4℃,5.4%,정상,2026-03-23 09:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-953.6mV,2mA,319.8mV,"3,597.8mV",11.1℃,5.5%,정상,2026-03-23 09:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-954.6mV,2mA,319.6mV,"3,597.7mV",11.0℃,5.4%,정상,2026-03-23 09:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-955.8mV,2mA,319.6mV,"3,597.7mV",10.8℃,5.6%,정상,2026-03-23 09:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-957.0mV,2mA,319.6mV,"3,597.6mV",10.6℃,5.6%,정상,2026-03-23 10:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-957.6mV,2mA,319.1mV,"3,597.6mV",10.5℃,5.6%,정상,2026-03-23 10:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-959.2mV,2mA,320.4mV,"3,597.5mV",10.2℃,5.5%,정상,2026-03-23 10:20:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-960.0mV,2mA,319.1mV,"3,597.4mV",10.0℃,5.5%,정상,2026-03-23 10:30:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-961.3mV,2mA,320.9mV,"3,597.4mV",9.8℃,5.5%,정상,2026-03-23 10:40:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-963.5mV,2mA,320.4mV,"3,597.3mV",9.8℃,5.6%,정상,2026-03-23 10:50:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-965.0mV,2mA,319.8mV,"3,597.3mV",9.5℃,5.5%,정상,2026-03-23 11:00:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-966.0mV,2mA,320.4mV,"3,597.2mV",9.4℃,5.5%,정상,2026-03-23 11:10:00
A구역 가스기지,RTU-01,지하 매설구간,정상,-968.1mV,2mA,320.4mV,"3,597.2mV",9.3℃,5.5%,정상,2026-03-23 11:20:00
